sourceIPAddress,if_anomaly,if_score,lof_anomaly,lof_score,final_anomaly,risk_score
10.1,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
10.130,1,0.15779374856834089,1,-1.001959188812911,0,0.41905530884134035
10.140,1,0.1285321687908525,1,-1.1199400735770693,0,0.30702462656439244
10.154,1,0.03258255884563788,1,-1.2289240585862102,0,0.24323778764634638
10.158,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.210,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.212,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.230,1,0.22754241692896576,1,-1.0,0,0.4222850222042794
10.238,1,0.09445708656660273,1,-1.1885494735048856,0,0.26221235365361323
10.245,1,0.12376954003934731,1,-1.0,0,0.4222850222042794
10.250,1,0.1510225453375027,1,-4.168181625747663,0,0.04965684295518772
10.253,1,0.18304569924635172,1,-1.0107040537156933,0,0.40855874041178847
10.254,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
10.255,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.3,1,0.15493792379906696,1,-0.9884336163311984,0,0.4539765845781187
10.36,1,0.058234423683583,1,-1.6749995991344349,0,0.11808639483245861
10.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.45,1,0.14729970605341186,1,-6.962544827592282,0,0.03693984658861525
10.47,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.5,1,0.1064251228986487,1,-1.0,0,0.4222850222042794
10.7,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
10.86,1,0.09862777582214893,1,-1.0467327056155011,0,0.37101332256762215
10.9,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
100.134,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
100.152,1,0.19087842688406947,1,-1.327305997565916,0,0.19539765845781185
100.17,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
100.226,-1,-0.2333145080076343,1,-0.9933949168705951,1,0.9400484457004441
100.236,1,0.16090660293842912,1,-0.965148733835759,0,0.48930157448526446
100.25,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
100.252,1,0.17469813592528505,1,-1.0034136621162886,0,0.41723859507468714
100.253,1,0.20256430374519696,1,-1.3572805421068304,0,0.1846992329430763
100.3,1,0.20947572251457336,-1,-94512.63654810828,1,0.5078724263221639
100.35,1,0.03990325035204312,1,-1.071385762257387,0,0.346386758175212
100.4,1,0.1565093614519037,1,-1.2503428032542232,0,0.2327412192167945
100.49,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
100.5,1,0.11034907566198243,1,-1.0333243707958888,0,0.38292289059345985
100.9,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
101.161,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.204,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.217,1,0.06635061713567914,1,-1.0183950834656086,0,0.3998788857488898
101.223,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.251,1,0.15906820500609492,1,-0.9974485748313169,0,0.4281388776746064
101.252,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.3,1,0.05962695724227485,1,-1.3618602979363041,0,0.18348809043197414
101.31,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.45,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
101.5,1,0.15451785328093637,1,-1.8638511230074897,0,0.09991925716592652
101.7,1,0.1792279881335318,1,-1.2987729814636397,0,0.20791279773920063
101.99,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.1,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.110,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.123,1,0.12198874270231419,1,-1.795842607249059,0,0.10456197012515138
102.15,1,0.12461781624165275,1,-1.0,0,0.4222850222042794
102.161,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
102.165,1,0.179280992571262,1,-1.0,0,0.4222850222042794
102.174,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.221,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.223,1,0.1931412922944461,1,-2.4248981880160967,0,0.07569640694388373
102.243,1,0.08925097857848979,-1,-64.57368345103751,1,0.5211949939442875
102.245,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.250,1,0.17645936070738188,1,-0.9657200489133405,0,0.48869600322971335
102.252,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.254,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.3,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
102.30,1,0.18403360568714,-1,-13.066031878681775,1,0.5308841340331045
102.6,1,0.0906160008558301,1,-1.1348787196065673,0,0.2969317723052079
102.9,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.1,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
103.103,1,0.17063429775932437,1,-1.3801958666349599,0,0.1766249495357287
103.108,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.151,1,0.15009578941571083,-1,-180.86217167879573,1,0.5155429955591442
103.181,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.182,1,0.018944763270372644,1,-0.9334623901589632,0,0.49899071457408156
103.217,1,0.15578582543102248,1,-0.9971691112370256,0,0.4289463060153411
103.229,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.250,1,0.10181046228962481,1,-1.0155047119247405,0,0.4025030278562778
103.253,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.254,1,0.1795854036390374,1,-2.174969241692027,0,0.08498183286233346
103.255,1,0.09375018881225389,1,-1.1672394623396922,0,0.27654420670165525
103.45,1,0.0361259809272475,1,-1.0096775786545655,0,0.41017359709325796
103.5,1,0.1931412922944461,1,-2.4248981880160967,0,0.07569640694388373
103.6,1,0.20522278886158923,1,-1.0826388191670915,0,0.3354864755752927
103.69,1,0.22754241692896576,1,-1.0,0,0.4222850222042794
103.7,1,0.12376954003934731,1,-1.0,0,0.4222850222042794
103.71,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
103.75,1,0.18756331382795133,1,-0.9881901452187216,0,0.4557932983447719
104.15,1,0.12376954003934731,1,-1.0,0,0.4222850222042794
104.16,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
104.165,1,0.19690359033002813,1,-1.0,0,0.4222850222042794
104.192,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
104.197,1,0.22754241692896576,1,-1.0,0,0.4222850222042794
104.229,-1,-0.017892234673239527,1,-1.2710883878341122,1,0.7236576503835285
104.233,-1,-0.14532542557672545,1,-1.2354633935836339,1,0.7400080742834073
104.251,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
104.255,1,0.0771023626280164,1,-0.9860161701965351,0,0.46063786838918047
104.3,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
104.4,1,0.08459011355676177,1,-1.7388710164213221,0,0.1102139685102947
104.6,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.106,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.162,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.177,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.204,-1,-0.16722925140420808,1,-1.678188039896033,1,0.6176826806620912
105.210,1,0.1397424480681867,1,-4.859421924363699,0,0.04481227291077916
105.225,1,0.1599810511441377,1,-10.549006130060928,0,0.03290270488494146
105.248,1,0.11832299818053921,1,-1.1976738177026371,0,0.2591844973758579
105.250,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.252,1,0.18493692296881942,1,-1.0361204864938482,0,0.37928946306015343
105.253,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.255,1,0.19690359033002813,1,-1.0,0,0.4222850222042794
105.4,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.5,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.63,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
105.84,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.1,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.109,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.123,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.134,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.158,1,0.17394232924275982,1,-1.0,0,0.4222850222042794
106.172,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
106.173,1,0.19356051065655616,1,-0.9787548279262358,0,0.47295115058538556
